"t1","name1","name2","changed_asym","triad_third","nname1","nname2","triad_id"
1891,"United Kingdom","Italy",0.156133984840918,"Italy","United Kingdom","Austria-Hungary","200-300-325"
1912,"France","Italy",0.0485451501929794,"Russia","France","Italy","220-325-365"
1913,"Bulgaria","Turkey",0.021016546456632,"Turkey","Greece","Bulgaria","350-355-640"
1926,"Italy","Yugoslavia",0.174472715225642,"Yugoslavia","Czechoslovakia","Italy","315-325-345"
1926,"Italy","Yugoslavia",0.174472715225642,"Romania","Italy","Yugoslavia","325-345-360"
1933,"Russia","Iran",0.267461150298762,"Turkey","Russia","Iran","365-630-640"
1934,"Germany","Italy",0.105283874686345,"Italy","Belgium","Germany","211-255-325"
1940,"Germany","Hungary",0.42278615584535,"Japan","Germany","Hungary","255-310-740"
1940,"Germany","Bulgaria",0.405616800013363,"Turkey","Germany","Bulgaria","255-355-640"
1958,"United States of America","Guatemala",0.632727816477598,"Guatemala","United States of America","Haiti","2-41-90"
1958,"United States of America","Guatemala",0.632727816477598,"Guatemala","United States of America","Dominican Republic","2-42-90"
1962,"United Kingdom","Russia",0.87524897970875,"Russia","Canada","United Kingdom","20-200-365"
1962,"United Kingdom","Russia",0.87524897970875,"Russia","United Kingdom","France","200-220-365"
1979,"United States of America","Canada",0.482230082943204,"United Kingdom","United States of America","Canada","2-20-200"
1979,"United States of America","Canada",0.482230082943204,"Netherlands","United States of America","Canada","2-20-210"
1989,"United States of America","Panama",0.5260160314008,"Panama","United States of America","Bahamas","2-31-95"
1989,"United States of America","Panama",0.5260160314008,"Panama","United States of America","Trinidad and Tobago","2-52-95"
1994,"United States of America","Haiti",0.741534193893652,"Haiti","United States of America","Bahamas","2-31-41"
1994,"United States of America","Haiti",0.741534193893652,"Jamaica","United States of America","Haiti","2-41-51"
2004,"China","North Korea",0.39045810081914,"North Korea","Russia","China","365-710-731"
2008,"Afghanistan","Pakistan",0.290871535840345,"Pakistan","Afghanistan","Turkmenistan","700-701-770"
2010,"China","North Korea",0.57803055911419,"North Korea","Russia","China","365-710-731"
2010,"Uganda","Kenya",0.116793994544925,"Kenya","Central African Republic","Uganda","482-500-501"
