"triad_id","t1","changed_n1","changed_n2","changed_asym","max_asym","node1","node2","node3","emb12","emb13","emb23","name1","name2","nname1","nname2","nname3"
"20-200-365",1962,"200","365",0.87524897970875,0.87524897970875,"20","200","365",22,12,14,"United Kingdom","Russia","Canada","United Kingdom","Russia"
"200-220-365",1962,"200","365",0.87524897970875,0.87524897970875,"200","220","365",27,14,14,"United Kingdom","Russia","United Kingdom","France","Russia"
"200-365-750",1962,"200","365",0.87524897970875,0.87524897970875,"200","365","750",14,12,11,"United Kingdom","Russia","United Kingdom","Russia","India"
"200-365-775",1962,"200","365",0.87524897970875,0.87524897970875,"200","365","775",14,11,11,"United Kingdom","Russia","United Kingdom","Russia","Myanmar"
"200-365-811",1962,"200","365",0.87524897970875,0.87524897970875,"200","365","811",14,11,11,"United Kingdom","Russia","United Kingdom","Russia","Cambodia"
"200-365-816",1962,"200","365",0.87524897970875,0.87524897970875,"200","365","816",14,11,12,"United Kingdom","Russia","United Kingdom","Russia","Vietnam"
"2-31-41",1994,"2","41",0.741534193893652,0.741534193893652,"2","31","41",32,35,32,"United States of America","Haiti","United States of America","Bahamas","Haiti"
"2-41-51",1994,"2","41",0.741534193893652,0.741534193893652,"2","41","51",35,32,32,"United States of America","Haiti","United States of America","Haiti","Jamaica"
"2-41-52",1994,"2","41",0.741534193893652,0.741534193893652,"2","41","52",35,32,32,"United States of America","Haiti","United States of America","Haiti","Trinidad and Tobago"
"2-41-53",1994,"2","41",0.741534193893652,0.741534193893652,"2","41","53",35,32,32,"United States of America","Haiti","United States of America","Haiti","Barbados"
"2-41-54",1994,"2","41",0.741534193893652,0.741534193893652,"2","41","54",35,32,32,"United States of America","Haiti","United States of America","Haiti","Dominica"
"2-41-55",1994,"2","41",0.741534193893652,0.741534193893652,"2","41","55",35,32,32,"United States of America","Haiti","United States of America","Haiti","Grenada"
"2-41-56",1994,"2","41",0.741534193893652,0.741534193893652,"2","41","56",35,32,32,"United States of America","Haiti","United States of America","Haiti","St. Lucia"
"2-41-57",1994,"2","41",0.741534193893652,0.741534193893652,"2","41","57",35,32,32,"United States of America","Haiti","United States of America","Haiti","St. Vincent and the Grenadines"
"2-41-60",1994,"2","41",0.741534193893652,0.741534193893652,"2","41","60",35,32,32,"United States of America","Haiti","United States of America","Haiti","St. Kitts and Nevis"
